<<<<<<< HEAD
Ticker,Raw Start Date,Raw End Date,Raw Missing %,Processed Start Date,Processed End Date,Processed Missing %
ILMN_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
INTC_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
INTU_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
ISRG_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
JD_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
KDP_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
KHC_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
KLAC_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
LRCX_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
LULU_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
MAR_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
MCHP_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
MDLZ_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
MELI_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
META_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
MNST_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
MRNA_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
MRVL_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
MSFT_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
MU_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
NFLX_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
NTES_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
NVDA_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
ODFL_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
ON_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
ORLY_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
PANW_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
PAYX_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
PCAR_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
PDD_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
PEP_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
PYPL_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
QCOM_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
REGN_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
ROST_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
SBUX_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
SIRI_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
SNPS_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
TEAM_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
TMUS_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
TSLA_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
TXN_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
VRSK_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
VRTX_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
WBA_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
WDAY_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
XEL_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
ZM_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
ZS_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
=======
Ticker,Raw Start Date,Raw End Date,Raw Missing %,Processed Start Date,Processed End Date,Processed Missing %
AAPL_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
ABNB_ohlcv,2020-12-10,2023-12-29,0.00%,2020-12-10,2023-12-29,0.00%
ADBE_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
ADI_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
ADP_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
ADSK_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
AEP_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
AMAT_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
AMD_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
AMGN_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
AMZN_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
ASML_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
AVGO_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
AZN_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
BABA_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
BIDU_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
BIIB_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
BKNG_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
BKR_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
CDNS_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
CEG_ohlcv,2022-01-19,2023-12-29,0.00%,2022-01-19,2023-12-29,0.00%
CHTR_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
CMCSA_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
COST_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
CPRT_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
CRWD_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
CSCO_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
CSGP_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
CSX_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
CTAS_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
CTSH_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
DDOG_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
DLTR_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
DXCM_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
EA_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
EXC_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
FAST_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
FTNT_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
GEHC_ohlcv,2022-12-15,2023-12-29,0.00%,2022-12-15,2023-12-29,0.00%
GILD_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
GOOGL_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
GOOG_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
HON_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
IDXX_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
ILMN_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
INTC_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
INTU_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
ISRG_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
JD_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
KDP_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
KHC_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
KLAC_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
LRCX_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
LULU_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
MAR_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
MCHP_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
MDLZ_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
MELI_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
META_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
MNST_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
MRNA_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
MRVL_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
MSFT_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
MU_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
NFLX_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
NTES_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
NVDA_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
ODFL_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
ON_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
ORLY_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
PANW_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
PAYX_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
PCAR_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
PDD_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
PEP_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
PYPL_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
QCOM_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
REGN_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
ROST_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
SBUX_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
SIRI_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
SNPS_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
TEAM_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
TMUS_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
TSLA_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
TXN_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
VRSK_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
VRTX_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
WBA_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
WDAY_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
XEL_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
ZM_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
ZS_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
>>>>>>> 1a8baaf5dd38c97fc217a897f7260f6b9dadaf9f
